,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
78,"La principal promesa de campaña del actual presidente de la República, Guillermo #Lasso, es el #vacunar a 9 millones de personas en los primeros 100 días de gobierno. Desde que inició la gestión, se dio de baja el denominado “Plan Vacunarse”.
#LaPrensaInforma https://t.co/TOUUHDHSXG",43,0,3,0,2,1
79,"@LeninArtieda @cedatos @LassoGuillermo Bajo esta ese % de aprobación del chulquero Guillermo Lasso, si dicha encuesta fue realizada a @EcuavisaInforma @ecuavisa  @teleamazonasec a sus panas de la @ID12Ecuador y de @PKnacional18, si debería tener el 100%. A quién engañas @cedatos ???.",41,0,0,9,0,0
80,Guillermo Lasso establece mesas de diálogo con los sectores del trasporte e indígenas https://t.co/y8OFko7mO0,14,1,0,0,0,0
81,Guillermo Lasso establece mesas de diálogo con los sectores del trasporte e indígenas https://t.co/7Vn5oT8Xzm,14,1,0,0,0,0
82,Guillermo Lasso establece mesas de diálogo con los sectores del trasporte e indígenas https://t.co/2KzFbNwVQT,14,1,0,0,6,2
83,"""Si bien durante la campaña a la presidencia en Ecuador, Guillermo Lasso se acercó a las mujeres y a las personas de la diversidad sexogenérica, aún hay escepticismo sobre cómo (...) protegerá los derechos de las comunidades"". - vía @infobae 
https://t.co/lNdrxoue6x",41,1,0,1,0,0
84,"Presidente Guillermo Lasso se reúne con dirigentes de la transportación terrestre
https://t.co/TmOyeHtxEw https://t.co/ilGNMx1iAg",13,1,0,0,2,0
85,"@EcuavisaInforma Yo diría  que estamos recién en la luna de miel con el presidente Guillermo Lasso, esperemos que se mantenga por mucho tiempo el optimismo y la buena voluntad para sacar al país adelante.",34,0,0,1,0,0
86,"@m4rx1st @rodricor6 @MamelaFialloFlo ""Un mejor Perú mucho más justo que el Ecuador de Guillermo Lasso"". Si, un Perú igualitario, pero en la miseria e indigencia como Venezuela y Cuba.",29,0,0,3,0,0
87,Presidente Guillermo Lasso se reúne con dirigentes de la transportación terrestre ► https://t.co/9yDim1wMzr https://t.co/0JXntuqeAg,14,1,0,0,93,15
88,"Lenin Moreno Garcés fue quien nos salvo que en Ecuador se perennice el ss21
Ahora Guillermo Lasso debe hacer un gobierno superINTELIGENTE para evitar el renacimiento del absurdo social al que nos quieren conducir seguidores de cadaveres URSS-Cuba-NorCorea https://t.co/oMCCHOLFJO",39,1,0,0,0,0
89,"fraude electoral de Iván Duque 
fraude electoral de Lasso Guillermo 2021
fraude electoral de Keiko Fujimori 2021 https://t.co/GS0VvEQf4x",18,1,0,0,0,0
90,"Presidente Guillermo Lasso supera los 70 puntos de aprobación ciudadana. Según Cedatos, las cifras que ha logrado… https://t.co/VHXiFllWIu https://t.co/dkdKfMzBAU",19,1,0,0,0,0
91,@EcuavisaInforma Que no Desmaye nuestro Presidente Guillermo Lasso y sigua Gobernando para el bien de Nuestro Ecuador que Dios lo Bendiga Y lo Ciude y Protege Siempre,27,0,0,1,0,0
92,"#EliteNoticias
Gobierno de Guillermo Lasso no aplicaría nuevos confinamientos en el país. Se estudiará cuántas personas han adquirido inmunidad.",19,0,1,0,0,0
93,#AHORA | El presidente Guillermo Lasso se reunió hoy en Carondelet con el sector de los transportistas. Quienes le ofrecieron su respaldo y a la  vez solicitaron que se focalicen los subsidios a la gasolina. https://t.co/4yfjMkQlm8,36,0,1,0,20,3
94,"#ContravíaInforma 🔴 | En un comunicado, la Presidencia señaló que en la reunión se tiene previsto abordar temas de interés relacionados con la reactivación postcovid. Aquí la noticia completa 👉 https://t.co/8hnCYqUwUU https://t.co/EeeZceUtWK",32,1,1,0,0,1
95,"#Atención
Gobierno de Guillermo Lasso arranca con 85 representaciones diplomáticas en el exterior
Más información: https://t.co/36f9Q2X0dp
https://t.co/zmEp0CPON2 https://t.co/JZy9PHiHlu",18,2,1,0,0,0
96,"El presidente Guillermo Lasso pidió un saludo en video al 'Kitu' Díaz
Más información: https://t.co/IWsxMzK9oB
https://t.co/zmEp0CPON2 https://t.co/lRkye0IK24",17,2,0,0,0,0
97,Gobierno de Guillermo Lasso arranca con 85 representaciones diplomáticas en el exterior - El Universo https://t.co/Mm7MSuekfR https://t.co/zMMz7HBXn3,17,1,0,0,1,4
98,"📰#Nacionales | El Gobierno ya anticipó que un subsidio al transporte es complicado por la falta de recursos, pero espera encontrar alternativas de solución a las demandas de este sector.  Los detalles⬇
https://t.co/7BkPNVUPkD",33,1,1,0,5,2
99,"🇪🇨 Presidente Guillermo Lasso visita a la Tricolor previo al partido contra Perú 
https://t.co/NhnMtnrSyZ",14,1,0,0,0,0
100,@LassoGuillermo  Buen viaje y pronto retorno. https://t.co/nz260ILJOP,7,1,0,1,0,0
101,El presidente Guillermo Lasso se reúne este 8 de junio de 2021 con dirigentes de los transportistas del país en el Palacio de Carondelet.,24,0,0,0,20,4
102,"@MichelCaballero capriles, rosales, guillermo lasso y un escuálido de sector elecciones comunales y de la revolucion  q ha perdido toda las elecciones en 20 años",25,0,0,1,0,0
103,@Nicolsvillagra6 @laderechadiario Y Ecuador con Guillermo Lasso.,7,0,0,2,0,0
104,"#EliteNoticias
Guillermo Lasso se reunió hoy con el gremio de transportistas para conocer la situación actual y demandas por parte de la agrupación.",23,0,1,0,1,0
105,"Guillermo Lasso, presidente de Ecuador, se someterá a una cirugía en EE. UU. https://t.co/1qwBMZKt4p",14,1,0,0,1,0
106,"⛔🇪🇨SEGÚN #CEDATOS 
@guillermolasso SUPERA A JAIME ROLDÓS Y A RAFAEL #CORREA EN SUS PRIMEROS DÍAS DE HABER ASUMIDO SU GOBIERNO 🔺

Guillermo Lasso, tendría el 71.4% de aceptación en todo el país; así informó la encuestadora CEDATOS al iniciar esta semana.

 ¿Y uds que creen? https://t.co/OHUshgI0YY",46,0,2,1,2,2
107,De las mismas encuestadoras de Lenin Moreno es popular… llega Guillermo Lasso es el mejor. No se puede tapar el sol con un dedo https://t.co/456At0rhH1,25,1,0,0,0,0
108,"15 días después de iniciado el gobierno las ""expectativas"" ciudadanas son altas. La última encuesta de Cedatos trae información sobre el ánimo de la población. Guillermo Lasso supera los 70 puntos de aprobación ciudadana. https://t.co/kf4dkuQxSJ",35,0,0,0,2,0
109,"#Atención| El presidente Guillermo Lasso se reúne con representantes del transporte para analizar el veto a la Ley Orgánica de Transporte, Tránsito  y Seguridad Vial, entre otros temas 👇 https://t.co/ykVcrycW5l",30,0,1,0,0,0
110,#ATENCIÓN: El presidente Guillermo Lasso se reunió con representantes de los transportistas en el Palacio de Carondelet. https://t.co/WNOhdpYRej,18,0,1,0,21,3
111,Preocupa que está confirmado el contagio por COVID-19 de un jugador de la selección. Es muy probable que aparezcan otros contagiados. Ayer el presidente Guillermo Lasso los visitó.,28,0,0,0,16,3
112,"@Adrianavbeta @Boris48732524 @Sr_Alecs_ @felipeandrebsc Gracias a Dios llegó Guillermo Lasso, sino ya lo seríamos, mi estimada señora!!!",17,0,0,4,0,0
113,"El ministro de Transporte, @MarceloHCabrera, ingresó al Palacio de Carondelet después de que llegaron los transportistas para reunirse con el presidente @Guillermo Lasso. https://t.co/udonyyVkjA",24,0,0,2,0,0
114,@CuenteroMuisne Entre Arauz y Guillermo Lasso y nos tocó el más feo el del ENCUENTRO,15,0,0,1,0,0
115,"Del 20 al 30 de junio, el presidente Guillermo Lasso se ausentará del país para someterse a una intervención quirúrgica de mediana complejidad, que le permitirá recuperar la movilidad. La intervención será en Estados Unidos. https://t.co/CNBPKJQqFu",36,0,0,0,16,4
116,"@LassoGuillermo 1A. Todavía estoy esperando q este guillermo lasso d un resumen d como encontró el gobierno d las manos d Lerdin El Cuentico, q también mencione q los mas millonarios d Ecuador arrimen el hombro pagando sus impuestos justos y no evadirlos y cobrar impuestos a salidas d divisas a",51,0,0,1,0,0
117,Recuerden que Guillermo Lasso es títere de la oligarquía. Fin del comunicado.,12,0,0,0,0,0
